time(ms),count,cpm,uSv/h,uSv/hError
5387203,0,2.200,0.041,0.006
5424748,0,2.100,0.040,0.006
5442262,0,2.150,0.041,0.006
5462738,0,2.050,0.039,0.006
5477738,0,2.100,0.040,0.006
5492317,0,2.100,0.040,0.006
5579863,0,1.950,0.037,0.006
5587265,0,2.000,0.038,0.006
5598096,0,2.000,0.038,0.006
5609733,0,2.100,0.040,0.006
5645303,0,2.150,0.041,0.006
5659477,0,2.200,0.041,0.006
5695360,0,2.250,0.042,0.006
5708828,0,2.250,0.042,0.006
5711077,0,2.300,0.043,0.006
5714063,0,2.350,0.044,0.006
5735376,0,2.300,0.043,0.006
5739489,0,2.350,0.044,0.006
5800808,0,2.300,0.043,0.006
5854087,0,2.250,0.042,0.006
5864951,0,2.300,0.043,0.006
5873525,0,2.350,0.044,0.006
5899054,0,2.400,0.045,0.007
5967907,0,2.250,0.042,0.006
6017767,0,2.050,0.039,0.006
6031584,0,2.100,0.040,0.006
6038687,0,2.100,0.040,0.006
6048352,0,2.100,0.040,0.006
6050198,0,2.150,0.041,0.006
6090397,0,2.200,0.041,0.006
6100468,0,2.250,0.042,0.006
6109140,0,2.300,0.043,0.006
6111655,0,2.350,0.044,0.006
6136584,0,2.350,0.044,0.006
6158788,0,2.400,0.045,0.007
6160632,0,2.450,0.046,0.007
6199906,0,2.400,0.045,0.007
6244829,0,2.400,0.045,0.007
6245571,0,2.450,0.046,0.007
6250674,0,2.500,0.047,0.007
6277100,0,2.550,0.048,0.007
6297829,0,2.550,0.048,0.007
6331754,0,2.600,0.049,0.007
6345903,0,2.650,0.050,0.007
6365985,0,2.600,0.049,0.007
6377896,0,2.600,0.049,0.007
6403267,0,2.600,0.049,0.007
6427395,0,2.650,0.050,0.007
6461249,0,2.600,0.049,0.007
6461981,0,2.650,0.050,0.007
6464914,0,2.650,0.050,0.007
6482424,0,2.650,0.050,0.007
6487533,0,2.700,0.051,0.007
6509920,0,2.750,0.052,0.007
6524560,0,2.800,0.053,0.007
6527568,0,2.850,0.054,0.007
6529081,0,2.900,0.055,0.007
6531220,0,2.950,0.056,0.007
6535975,0,3.000,0.057,0.007
6544481,0,3.050,0.058,0.007
6551859,0,3.100,0.058,0.007
6579000,0,3.100,0.058,0.007
6579361,0,3.150,0.059,0.007
6596855,0,3.150,0.059,0.007
6615109,0,3.200,0.060,0.008
6711747,0,3.000,0.057,0.007
6722223,0,3.050,0.058,0.007
6732596,0,3.100,0.058,0.007
6740793,0,3.150,0.059,0.007
6744510,0,3.200,0.060,0.008
6822588,0,3.000,0.057,0.007
6839728,0,3.050,0.058,0.007
6884352,0,3.000,0.057,0.007
6906952,0,2.900,0.055,0.007
6918354,0,2.900,0.055,0.007
6943938,0,2.900,0.055,0.007
6961068,0,2.950,0.056,0.007
6987893,0,3.000,0.057,0.007
6989388,0,3.050,0.058,0.007
7059945,0,3.000,0.057,0.007
7077097,0,2.950,0.056,0.007
7150864,0,2.950,0.056,0.007
7170400,0,2.950,0.056,0.007
7173715,0,3.000,0.057,0.007
7178892,0,3.050,0.058,0.007
7228414,0,3.050,0.058,0.007
7229141,0,3.100,0.058,0.007
7272518,0,2.950,0.056,0.007
7274348,0,3.000,0.057,0.007
7279179,0,3.050,0.058,0.007
7286631,0,3.100,0.058,0.007
7289576,0,3.150,0.059,0.007
7291380,0,3.150,0.059,0.007
7293232,0,3.200,0.060,0.008
7302557,0,3.200,0.060,0.008
7307017,0,3.250,0.061,0.008
7325284,0,3.200,0.060,0.008
7420130,0,3.050,0.058,0.007
7440273,0,3.100,0.058,0.007
7442848,0,3.050,0.058,0.007
7467433,0,3.050,0.058,0.007
7473415,0,3.100,0.058,0.007
7494010,0,3.100,0.058,0.007
7536667,0,3.050,0.058,0.007
7555804,0,3.050,0.058,0.007
7567832,0,3.050,0.058,0.007
7568556,0,3.100,0.058,0.007
7571891,0,3.150,0.059,0.007
7578296,0,3.150,0.059,0.007
7581246,0,3.200,0.060,0.008
7610860,0,3.200,0.060,0.008
7676558,0,3.050,0.058,0.007
7688805,0,3.000,0.057,0.007
7731569,0,2.800,0.053,0.007
7744959,0,2.750,0.052,0.007
7756886,0,2.750,0.052,0.007
7769581,0,2.800,0.053,0.007
7800956,0,2.700,0.051,0.007
7815875,0,2.700,0.051,0.007
7876878,0,2.700,0.051,0.007
7938353,0,2.600,0.049,0.007
7941333,0,2.600,0.049,0.007
7956311,0,2.600,0.049,0.007
8016302,0,2.650,0.050,0.007
8016651,0,2.700,0.051,0.007
8048984,0,2.650,0.050,0.007
8074409,0,2.700,0.051,0.007
8083343,0,2.700,0.051,0.007
8099405,0,2.750,0.052,0.007
8110239,0,2.750,0.052,0.007
8134996,0,2.750,0.052,0.007
8172371,0,2.700,0.051,0.007
8183278,0,2.750,0.052,0.007
8230854,0,2.700,0.051,0.007
8267311,0,2.700,0.051,0.007
8287723,0,2.700,0.051,0.007
8293702,0,2.750,0.052,0.007
8448449,0,2.500,0.047,0.007
8492857,0,2.200,0.041,0.006
8492857,0,2.200,0.041,0.006
8516725,0,2.150,0.041,0.006
8549839,0,2.150,0.041,0.006
8552034,0,2.200,0.041,0.006
8595170,0,2.250,0.042,0.006
8616782,0,2.250,0.042,0.006
8620823,0,2.300,0.043,0.006
8623431,0,2.350,0.044,0.006
8635396,0,2.350,0.044,0.006
8663707,0,2.350,0.044,0.006
8689910,0,2.250,0.042,0.006
8748455,0,2.250,0.042,0.006
8793310,0,2.000,0.038,0.006
8806390,0,2.050,0.039,0.006
8809381,0,2.050,0.039,0.006
8810098,0,2.100,0.040,0.006
8830732,0,2.150,0.041,0.006
8834071,0,2.200,0.041,0.006
8846713,0,2.250,0.042,0.006
8896376,0,2.200,0.041,0.006
8970868,0,2.050,0.039,0.006
8999254,0,2.100,0.040,0.006
9018695,0,2.050,0.039,0.006
9022372,0,2.100,0.040,0.006
9044706,0,2.150,0.041,0.006
9055209,0,2.200,0.041,0.006
9059678,0,2.250,0.042,0.006
9067497,0,2.300,0.043,0.006
9090767,0,2.350,0.044,0.006
9093746,0,2.400,0.045,0.007
9097831,0,2.450,0.046,0.007
9098910,0,2.500,0.047,0.007
9144317,0,2.450,0.046,0.007
9169881,0,2.450,0.046,0.007
9170610,0,2.500,0.047,0.007
9176988,0,2.550,0.048,0.007
9177709,0,2.600,0.049,0.007
9254705,0,2.500,0.047,0.007
9306741,0,2.350,0.044,0.006
9312709,0,2.400,0.045,0.007
9318621,0,2.450,0.046,0.007
9321209,0,2.500,0.047,0.007
9327472,0,2.550,0.048,0.007
9349729,0,2.550,0.048,0.007
9426860,0,2.450,0.046,0.007
9435809,0,2.500,0.047,0.007
9449203,0,2.550,0.048,0.007
9460002,0,2.600,0.049,0.007
9470423,0,2.600,0.049,0.007
9477119,0,2.650,0.050,0.007
9485656,0,2.700,0.051,0.007
9526306,0,2.650,0.050,0.007
9604107,0,2.700,0.051,0.007
9639786,0,2.750,0.052,0.007
9640876,0,2.800,0.053,0.007
9662809,0,2.800,0.053,0.007
9668042,0,2.850,0.054,0.007
9674013,0,2.900,0.055,0.007
9693136,0,2.900,0.055,0.007
9701005,0,2.950,0.056,0.007
9712531,0,3.000,0.057,0.007
9808300,0,2.850,0.054,0.007
9820575,0,2.800,0.053,0.007
9865460,0,2.700,0.051,0.007
9867718,0,2.750,0.052,0.007
9871077,0,2.800,0.053,0.007
9889840,0,2.800,0.053,0.007
9907763,0,2.850,0.054,0.007
9916416,0,2.900,0.055,0.007
9926967,0,2.950,0.056,0.007
9932573,0,3.000,0.057,0.007
9959330,0,3.000,0.057,0.007
10026476,0,2.800,0.053,0.007
10065692,0,2.750,0.052,0.007
10144848,0,2.750,0.052,0.007
10146699,0,2.800,0.053,0.007
10150793,0,2.850,0.054,0.007
10159021,0,2.900,0.055,0.007
10175530,0,2.900,0.055,0.007
10217798,0,2.900,0.055,0.007
10254701,0,2.700,0.051,0.007
10293016,0,2.600,0.049,0.007
10329205,0,2.550,0.048,0.007
10347500,0,2.550,0.048,0.007
10350104,0,2.600,0.049,0.007
10382230,0,2.450,0.046,0.007
10383303,0,2.500,0.047,0.007
10394477,0,2.550,0.048,0.007
10465448,0,2.550,0.048,0.007
10482964,0,2.600,0.049,0.007
10506147,0,2.650,0.050,0.007
10523367,0,2.500,0.047,0.007
10541684,0,2.500,0.047,0.007
10623130,0,2.500,0.047,0.007
10668921,0,2.300,0.043,0.006
10691078,0,2.250,0.042,0.006
10728600,0,2.250,0.042,0.006
10742132,0,2.300,0.043,0.006
10782328,0,2.350,0.044,0.006
10786790,0,2.350,0.044,0.006
10822554,0,2.350,0.044,0.006
10832963,0,2.400,0.045,0.007
10929723,0,2.050,0.039,0.006
10931954,0,2.100,0.040,0.006
10969398,0,2.150,0.041,0.006
10995956,0,2.200,0.041,0.006
11033079,0,2.150,0.041,0.006
11033804,0,2.200,0.041,0.006
11054364,0,2.250,0.042,0.006
11070460,0,2.150,0.041,0.006
11089952,0,2.150,0.041,0.006
11160862,0,1.950,0.037,0.006
11180662,0,2.000,0.038,0.006
11204639,0,2.050,0.039,0.006
11218831,0,2.100,0.040,0.006
11270089,0,2.050,0.039,0.006
11318374,0,2.100,0.040,0.006
11324037,0,2.150,0.041,0.006
11404232,0,1.950,0.037,0.006
11408259,0,2.000,0.038,0.006
11438714,0,2.000,0.038,0.006
